iter	Passed	Remaining
711	3448	1394
712	3450	1388
713	3451	1382
714	3452	1376
715	3454	1370
716	3455	1364
717	3457	1357
718	3458	1351
719	3460	1345
720	3461	1339
721	3463	1333
722	3464	1327
723	3465	1321
724	3467	1315
725	3468	1309
726	3469	1303
727	3471	1296
728	3472	1290
729	3474	1284
730	3475	1278
731	3476	1272
732	3478	1267
733	3480	1261
734	3481	1255
735	3483	1249
736	3484	1243
737	3486	1237
738	3487	1231
739	3489	1226
740	3491	1220
741	3493	1214
742	3494	1208
743	3496	1203
744	3498	1197
745	3499	1191
746	3501	1185
747	3502	1179
748	3503	1174
749	3505	1168
750	3506	1162
751	3508	1157
752	3509	1151
753	3511	1145
754	3512	1139
755	3514	1134
756	3515	1128
757	3517	1122
758	3518	1117
759	3520	1111
760	3520	1105
761	3522	1100
762	3523	1094
763	3525	1088
764	3526	1083
765	3528	1077
766	3529	1072
767	3531	1066
768	3532	1061
769	3534	1055
770	3535	1050
771	3537	1044
772	3538	1039
773	3540	1033
774	3541	1028
775	3543	1022
776	3545	1017
777	3546	1012
778	3548	1006
779	3550	1001
780	3551	995
781	3553	990
782	3554	985
783	3556	979
784	3557	974
785	3559	969
786	3560	963
787	3562	958
788	3563	953
789	3565	947
790	3567	942
791	3568	937
792	3570	931
793	3572	926
794	3574	921
795	3575	916
796	3577	911
797	3579	905
798	3580	900
799	3582	895
800	3583	890
801	3585	885
802	3587	880
803	3588	874
804	3591	870
805	3593	864
806	3594	859
807	3596	854
808	3597	849
809	3600	844
810	3602	839
811	3603	834
812	3605	829
813	3606	824
814	3608	819
815	3609	813
816	3611	808
817	3613	803
818	3614	798
819	3616	793
820	3617	788
821	3619	783
822	3620	778
823	3622	773
824	3623	768
825	3625	763
826	3626	758
827	3628	753
828	3629	748
829	3631	743
830	3632	738
831	3634	733
832	3636	728
833	3637	724
834	3638	719
835	3640	714
836	3641	709
837	3643	704
838	3643	699
839	3645	694
840	3646	689
841	3648	684
842	3649	679
843	3651	674
844	3652	670
845	3654	665
846	3655	660
847	3656	655
848	3658	650
849	3659	645
850	3660	640
851	3662	636
852	3663	631
853	3664	626
854	3666	621
855	3668	617
856	3669	612
857	3670	607
858	3672	602
859	3673	598
860	3675	593
861	3676	588
862	3677	583
863	3679	579
864	3680	574
865	3682	569
866	3683	565
867	3684	560
868	3686	555
869	3687	550
870	3688	546
871	3690	541
872	3691	537
873	3692	532
874	3694	527
875	3695	523
876	3697	518
877	3698	513
878	3700	509
879	3701	504
880	3703	500
881	3704	495
882	3705	491
883	3707	486
884	3708	481
885	3710	477
886	3711	472
887	3713	468
888	3714	463
889	3715	459
890	3717	454
891	3718	450
892	3720	445
893	3721	441
894	3723	436
895	3724	432
896	3726	427
897	3727	423
898	3729	418
899	3730	414
900	3731	410
901	3733	405
902	3734	401
903	3736	396
904	3737	392
905	3739	387
906	3740	383
907	3741	379
908	3743	374
909	3744	370
910	3746	365
911	3747	361
912	3748	357
913	3750	352
914	3750	348
915	3752	344
916	3753	339
917	3755	335
918	3757	331
919	3758	326
920	3759	322
921	3761	318
922	3762	313
923	3763	309
924	3765	305
925	3766	301
926	3768	296
927	3770	292
928	3771	288
929	3773	284
930	3774	279
931	3776	275
932	3777	271
933	3779	267
934	3780	262
935	3782	258
936	3783	254
937	3784	250
938	3786	245
939	3788	241
940	3789	237
941	3791	233
942	3792	229
943	3793	225
944	3795	220
945	3796	216
946	3798	212
947	3799	208
948	3800	204
949	3802	200
950	3803	195
951	3805	191
952	3806	187
953	3808	183
954	3809	179
955	3810	175
956	3812	171
957	3813	167
958	3815	163
959	3816	159
960	3818	154
961	3819	150
962	3820	146
963	3822	142
964	3823	138
965	3825	134
966	3826	130
967	3827	126
968	3829	122
969	3830	118
970	3832	114
971	3833	110
972	3835	106
973	3836	102
974	3837	98
975	3839	94
976	3840	90
977	3842	86
978	3843	82
979	3844	78
980	3846	74
981	3847	70
982	3849	66
983	3850	62
984	3851	58
985	3853	54
986	3854	50
987	3855	46
988	3857	42
989	3858	38
990	3860	35
991	3861	31
992	3863	27
993	3864	23
994	3865	19
995	3867	15
996	3868	11
997	3870	7
998	3871	3
999	3873	0
